date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:23	20/20	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2016:34:21%20GMT	https://amgaka.com/robots.txt		(from )
16:34:24	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2016:34:21%20GMT	https://amgaka.com/	C:/My%20Web%20Sites/amgaka/amgaka.com/index.html	(from )
16:34:26	128700/128700	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2016:34:22%20GMT	https://amgaka.com/en/	C:/My%20Web%20Sites/amgaka/amgaka.com/en/index.html	(from https://amgaka.com/)
16:34:27	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2016:34:24%20GMT	https://amgaka.com/xmlrpc.php	C:/My%20Web%20Sites/amgaka/amgaka.com/xmlrpc.php	(from https://amgaka.com/en/)
16:34:28	41385/41385	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Feb%202024%2016:34:25%20GMT	https://amgaka.com/en/xmlrpc.php	C:/My%20Web%20Sites/amgaka/amgaka.com/en/xmlrpc.php	(from https://amgaka.com/en/)
16:34:28	27568/27568	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Sep%202023%2008:21:44%20GMT	https://amgaka.com/wp-content/uploads/2023/09/Amgaka-Logo_wide_1-scaled.jpg	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/uploads/2023/09/Amgaka-Logo_wide_1-scaled.jpg	(from https://amgaka.com/en/)
16:34:29	197048/197048	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:22:43%20GMT	https://amgaka.com/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.2	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main61da.css	(from https://amgaka.com/en/)
16:34:29	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2016:34:27%20GMT	https://amgaka.com/comments/feed/	C:/My%20Web%20Sites/amgaka/amgaka.com/comments/feed/index.html	(from https://amgaka.com/en/)
16:34:29	776/776	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:22:40%20GMT	https://amgaka.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.23	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor4a8b.css	(from https://amgaka.com/en/)
16:34:29	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2016:34:27%20GMT	https://amgaka.com/feed/	C:/My%20Web%20Sites/amgaka/amgaka.com/feed/index.html	(from https://amgaka.com/en/)
16:34:30	23745/23745	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:22:38%20GMT	https://amgaka.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.css?ver=5.25.0	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons7bb8.css	(from https://amgaka.com/en/)
16:34:30	19301/19301	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:22:38%20GMT	https://amgaka.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.css?ver=8.4.5	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper94a4.css	(from https://amgaka.com/en/)
16:34:30	11434/11434	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:29:34%20GMT	https://amgaka.com/wp-content/uploads/elementor/css/post-123.css?ver=1706257774	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/uploads/elementor/css/post-123454b.css	(from https://amgaka.com/en/)
16:34:31	193517/193517	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:22:38%20GMT	https://amgaka.com/wp-content/plugins/elementor/assets/css/frontend.css?ver=3.18.3	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/plugins/elementor/assets/css/frontendf3b2.css	(from https://amgaka.com/en/)
16:34:31	75684/75684	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:22:40%20GMT	https://amgaka.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.23	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend4a8b.css	(from https://amgaka.com/en/)
16:34:31	164508/164508	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:31:08%20GMT	https://amgaka.com/wp-content/uploads/elementor/css/post-150.css?ver=1706257868	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/uploads/elementor/css/post-150defd.css	(from https://amgaka.com/en/)
16:34:32	498073/498073	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:22:41%20GMT	https://amgaka.com/wp-content/plugins/elementor-pro/assets/css/frontend.css?ver=3.18.3	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/plugins/elementor-pro/assets/css/frontendf3b2.css	(from https://amgaka.com/en/)
16:34:32	41312/41312	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202024%2008:22:38%20GMT	https://amgaka.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.css?ver=3.18.3	C:/My%20Web%20Sites/amgaka/amgaka.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shimsf3b2.css	(from https://amgaka.com/en/)
