date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:13	20/20	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2017:01:10%20GMT	https://account.amgaka.com/robots.txt		(from )
17:01:13	9132/9132	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:01:11%20GMT	https://account.amgaka.com/	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/index.html	(from )
17:01:13	472/472	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2022%20Aug%202023%2003:09:48%20GMT	https://account.amgaka.com/publics/img/favicon.svg	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/img/favicon.svg	(from https://account.amgaka.com/)
17:01:14	926/926	---MC-	200	added ('OK')	text/css	date:Tue,%2006%20Feb%202024%2017:01:12%20GMT	https://fonts.googleapis.com/css?family=Poppins:300,400,500,600,700	C:/My%20Web%20Sites/momcompteAmgakam/fonts.googleapis.com/css6079.css	(from https://account.amgaka.com/)
17:01:23	862403/862403	---M--	200	added ('OK')	text/css	date:Wed,%2031%20May%202023%2008:15:42%20GMT	https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css	(from https://account.amgaka.com/)
17:01:24	25707/25707	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Sep%202022%2021:24:12%20GMT	https://account.amgaka.com/publics/css/alertify.css	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/css/alertify.css	(from https://account.amgaka.com/)
17:01:25	9873/9873	---M--	200	added ('OK')	text/css	date:Wed,%2010%20May%202023%2014:07:42%20GMT	https://account.amgaka.com/publics/css/dropify.css	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/css/dropify.css	(from https://account.amgaka.com/)
17:01:25	14077/14077	---M--	200	added ('OK')	text/css	date:Wed,%2010%20May%202023%2014:07:42%20GMT	https://account.amgaka.com/publics/css/waitMe.min.css	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/css/waitMe.min.css	(from https://account.amgaka.com/)
17:01:26	121434/121434	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f02c2df7c8b385af18974ab9cfa112c7%22	https://cdn.weglot.com/weglot.min.js	C:/My%20Web%20Sites/momcompteAmgakam/cdn.weglot.com/weglot.min.js	(from https://account.amgaka.com/)
17:01:26	6438/6438	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:01:24%20GMT	https://account.amgaka.com/auth/password/reset?tag=1	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/auth/password/reset0849.html	(from https://account.amgaka.com/)
17:01:27	67614/67614	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Oct%202023%2017:46:18%20GMT	https://account.amgaka.com/publics/css/custom.css	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/css/custom.css	(from https://account.amgaka.com/)
17:01:27	24628/24628	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:01:25%20GMT	https://account.amgaka.com/auth/register/member	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/auth/register/member.html	(from https://account.amgaka.com/)
17:01:28	29027/29027	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:01:25%20GMT	https://account.amgaka.com/auth/register/interpreter	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/auth/register/interpreter.html	(from https://account.amgaka.com/)
17:01:29	9132/9132	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:01:26%20GMT	https://account.amgaka.com/auth/login	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/auth/login.html	(from https://account.amgaka.com/)
17:01:30	1420988/1420988	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Aug%202023%2013:28:13%20GMT	https://account.amgaka.com/publics/dist/css/style.bundle.css	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/css/style.bundle.css	(from https://account.amgaka.com/)
17:01:35	233242/233242	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20Mar%202023%2002:28:08%20GMT	https://account.amgaka.com/publics/dist/js/scripts.bundle.js	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/js/scripts.bundle.js	(from https://account.amgaka.com/)
17:01:36	420312/420312	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Aug%202023%2003:18:38%20GMT	https://account.amgaka.com/publics/img/logo_white.png	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/img/logo_white.png	(from https://account.amgaka.com/)
17:01:36	8669/8669	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20May%202023%2014:07:42%20GMT	https://account.amgaka.com/publics/js/dropify.js	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/js/dropify.js	(from https://account.amgaka.com/)
17:01:37	3820/3820	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20May%202023%2014:07:42%20GMT	https://account.amgaka.com/publics/js/waitMe.min.js	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/js/waitMe.min.js	(from https://account.amgaka.com/)
17:01:39	136158/136158	---M--	200	added ('OK')	application/javascript	date:Sat,%2002%20Sep%202023%2013:03:26%20GMT	https://account.amgaka.com/publics/js/alertify.js	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/js/alertify.js	(from https://account.amgaka.com/)
17:01:39	559459/559459	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Aug%202023%2013:23:39%20GMT	https://account.amgaka.com/publics/dist/media/patterns/header-bg.png	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/media/patterns/header-bg.png	(from https://account.amgaka.com/)
17:01:39	9597/9597	---M--	200	added ('OK')	application/javascript	date:Tue,%2005%20Sep%202023%2009:20:29%20GMT	https://account.amgaka.com/publics/js/inits.js	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/js/inits.js	(from https://account.amgaka.com/)
17:01:40	208/208	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20Sep%202022%2021:24:12%20GMT	https://account.amgaka.com/publics/js/load_datas_object.js	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/js/load_datas_object.js	(from https://account.amgaka.com/)
17:01:40	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2006%20Feb%202024%2017:01:38%20GMT	https://fonts.googleapis.com/robots.txt		(from https://account.amgaka.com/)
17:01:43	187500/187500	---M--	200	added ('OK')	font/ttf	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-duotone%ef%b9%96eut7fk.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-duotone%ef%b9%96eut7fk.ttf	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:44	187664/187664	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-duotone%ef%b9%96eut7fk.eot	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-duotone%ef%b9%96eut7fk.eot	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:47	187576/187576	---M--	200	added ('OK')	font/woff	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-duotone%ef%b9%96eut7fk.woff	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-duotone%ef%b9%96eut7fk.woff	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:48	246928/246928	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-outline%ef%b9%96fzo4bm.eot	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-outline%ef%b9%96fzo4bm.eot	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:50	246764/246764	---M--	200	added ('OK')	font/ttf	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-outline%ef%b9%96fzo4bm.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-outline%ef%b9%96fzo4bm.ttf	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:50	690267/690267	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-duotone%ef%b9%96eut7fk.svg	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-duotone%ef%b9%96eut7fk.svg	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:50	246840/246840	---M--	200	added ('OK')	font/woff	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-outline%ef%b9%96fzo4bm.woff	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-outline%ef%b9%96fzo4bm.woff	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:52	165296/165296	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-solid%ef%b9%96812fv7.eot	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-solid%ef%b9%96812fv7.eot	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:54	165132/165132	---M--	200	added ('OK')	font/ttf	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-solid%ef%b9%96812fv7.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-solid%ef%b9%96812fv7.ttf	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:54	165208/165208	---M--	200	added ('OK')	font/woff	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-solid%ef%b9%96812fv7.woff	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-solid%ef%b9%96812fv7.woff	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:55	1058682/1058682	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-outline%ef%b9%96fzo4bm.svg	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-outline%ef%b9%96fzo4bm.svg	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:55	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2030%20Jun%202020%2015:32:00%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400.eot	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400.eot	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:57	84772/84772	---M--	200	added ('OK')	font/woff2	date:Tue,%2030%20Jun%202020%2015:32:00%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400.woff2	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400.woff2	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:57	3821187/3821187	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Aug%202023%2011:55:20%20GMT	https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.js	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/plugins.bundle.js	(from https://account.amgaka.com/)
17:01:58	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2030%20Jun%202020%2015:32:00%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400%ef%b9%96.eot	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400%ef%b9%96.eot	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:58	98673/98673	---M--	200	added ('OK')	font/woff	date:Tue,%2030%20Jun%202020%2015:32:00%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400.woff	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400.woff	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:01:58	695434/695434	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Mar%202023%2002:28:10%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-solid%ef%b9%96812fv7.svg	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/keenicons/keenicons-solid%ef%b9%96812fv7.svg	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:00	33916/33916	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2030%20Jun%202020%2015:32:00%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-regular-400.eot	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-regular-400.eot	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:00	156072/156072	---M--	200	added ('OK')	font/ttf	date:Tue,%2030%20Jun%202020%2015:32:00%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-brands-400.ttf	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:00	12900/12900	---M--	200	added ('OK')	font/woff2	date:Tue,%2030%20Jun%202020%2015:32:00%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-regular-400.woff2	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-regular-400.woff2	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
